rr,x,y,z,x_final,y_final,z_final,origin,final,x_move,y_move,z_move,done
11,0.19697969887415595,0.03668102393811418,0.529699505361872,0.19485142212077386,0.031735383615703106,0.5306077698807096,8.01121745039804,0.1554243828134072,21,49,9,True
11,0.19678230539179714,0.036682374854650646,0.5296994622528204,0.19480621009222243,0.031584507864166514,0.5303623295473392,7.81521799362736,0.5969524962717992,20,51,7,False
11,0.19688068830756783,0.03668083942399075,0.52969819037845,0.19494398579874872,0.03148214319484527,0.530200235475784,7.913337353108535,0.8116071281194237,19,52,5,False
11,0.19698182088836014,0.0366804494280909,0.5295977892247182,0.19485576645470068,0.03163329723503833,0.5303616991353091,8.114481091732767,0.49923717495187203,21,50,8,False
11,0.197005824229085,0.03668159825965711,0.5295890763863432,0.19466775645640622,0.03148363580562724,0.5303417454192958,8.14834610239884,0.856862318670687,23,52,8,False
11,0.1969784893178517,0.0366804448533829,0.529698332071223,0.19482521669771535,0.03148232744886975,0.5302881248893838,8.010602100011589,0.7543309640310192,22,52,6,False
11,0.19688022772187236,0.03668045617130844,0.5295987550213159,0.1949972810295015,0.03148298834851876,0.5304156732785842,8.011928871864832,0.6486194023985203,19,52,8,False
11,0.19678282068014158,0.036680459507852536,0.5296984781474018,0.19491959629201897,0.03155628817492412,0.5302500369368865,7.814802040592289,0.663271180208258,19,51,6,False
11,0.19698151412418308,0.03668098886923282,0.5296966876978011,0.19485541146718946,0.03150786388623085,0.5302857293684431,8.015815295614765,0.7009952781365375,21,52,6,False
11,0.19678224372001224,0.0366802766537932,0.5295982113126712,0.19478163140460525,0.03140748536583343,0.5304120434504805,7.914309061134245,0.7488397790807177,20,53,8,False
11,0.19698045696650301,0.03667987488042096,0.529698455409659,0.19477813714199774,0.031582366672651865,0.5301370243928104,8.011876437264949,0.85247179253993,22,51,4,False
11,0.19687956201912651,0.036680823062146206,0.5295975777564872,0.19482604816429888,0.03155864484347859,0.5303626288498995,8.012807324785488,0.6026781423229821,21,51,8,False
11,0.19690338639179064,0.0366810314409563,0.5295901899936155,0.19489596789470656,0.03168268591776237,0.530587333453604,8.044227839131391,0.18401273392702755,20,50,10,True
11,0.19678237216122405,0.036681621273437215,0.5296005593991346,0.19489295971668413,0.03148456084615375,0.5301173267553456,7.913434035526578,0.8551526818164346,19,52,5,False
11,0.19677884054639186,0.036680450909489626,0.5296974027082426,0.19477262459038555,0.03163350931311548,0.5304392328665019,7.811888747638829,0.5046332299970535,20,50,7,False
11,0.19688097617229564,0.03668159318777514,0.5296987075991116,0.19486184909359228,0.031700814090397766,0.5306046090131604,7.9138617609590955,0.18272780284947499,20,50,9,True
11,0.1968779013667696,0.03668209498473479,0.529800308499473,0.19482482515530902,0.03163363753395049,0.5304889428342772,7.809687852031344,0.40259447646326385,21,50,7,False
11,0.19688343862591196,0.03668159148798028,0.5296977927126916,0.19489371438579534,0.0315572393983336,0.5303753939837194,7.917237401200622,0.5236522321516446,20,51,7,False
11,0.19690705042969742,0.03668100664710583,0.529688591878895,0.1948200647762075,0.03150822008015082,0.5302149673590788,7.94946519790815,0.806747784562814,21,52,5,False
11,0.19678198209125014,0.036680241421864046,0.5297961513441831,0.19474296724978932,0.03155626245677734,0.5303243451220758,7.716072168931026,0.7264251713574588,20,51,5,False
11,0.1968813414168084,0.03668101608135549,0.5295983808713381,0.1947477191194557,0.031484086173658166,0.5301647943434,8.013976626825709,0.95340036348604,21,52,6,False
11,0.19698150701394393,0.036680438217648936,0.5296963226327922,0.1948554813462525,0.031657950702373386,0.5304358914286875,8.01562259880062,0.40067652268653553,21,50,7,False
11,0.19678225136549882,0.036681422683758236,0.529599339980987,0.19488590939223385,0.03158423018323438,0.5301859521850716,7.914334068270051,0.6939082394601254,19,51,6,False
11,0.19688680368596934,0.036680810302305855,0.5297940373635401,0.19488329816881422,0.03148203198371452,0.530384524787762,7.823576624735012,0.6001450597092062,20,52,6,False
